
 ,U1,U2,INV1,INV2,K1,K2,X1,X2,NPVTOT,NPVLAND,NPVOCEAN
T-356       ,8.4327282E+3,7.7646148E+3, 13.74254164, 17.15784637, 67.65146484, 56.76717726,4.1549868E+5,1.3678001E+6,432.60287689,294.38409305,138.21878384
T-357       ,8.4182540E+3,7.7619527E+3, 13.74607960, 17.16160426, 67.67269004, 56.77994658,4.1465540E+5,1.3670236E+6,433.05004357,294.62799776,138.42204582
T-358       ,8.4037895E+3,7.7592890E+3, 13.74960184, 17.16535953, 67.69384360, 56.79270861,4.1381358E+5,1.3662474E+6,433.49497686,294.87050740,138.62446946
T-359       ,8.3893350E+3,7.7566240E+3, 13.75310835, 17.16911218, 67.71492678, 56.80546331,4.1297320E+5,1.3654715E+6,433.93768771,295.11162951,138.82605820
T-360       ,8.3748905E+3,7.7539574E+3, 13.75659908, 17.17286220, 67.73593928, 56.81821062,4.1213427E+5,1.3646958E+6,434.37818705,295.35137161,139.02681544
T-361       ,8.3604560E+3,7.7512893E+3, 13.76007400, 17.17660958, 67.75688063, 56.83095053,4.1129678E+5,1.3639204E+6,434.81648573,295.58974116,139.22674457
T-362       ,8.3460315E+3,7.7486198E+3, 13.76353310, 17.18035429, 67.77775029, 56.84368297,4.1046073E+5,1.3631453E+6,435.25259457,295.82674559,139.42584899
T-363       ,8.3316171E+3,7.7459488E+3, 13.76697635, 17.18409634, 67.79854858, 56.85640791,4.0962613E+5,1.3623704E+6,435.68652433,296.06239229,139.62413204
T-364       ,8.3172128E+3,7.7432764E+3, 13.77040371, 17.18783570, 67.81927502, 56.86912531,4.0879297E+5,1.3615958E+6,436.11828571,296.29668862,139.82159709
T-365       ,8.3028187E+3,7.7406024E+3, 13.77381515, 17.19157238, 67.83992992, 56.88183512,4.0796125E+5,1.3608215E+6,436.54788935,296.52964189,140.01824747
T-366       ,8.2884348E+3,7.7379270E+3, 13.77721065, 17.19530635, 67.86051283, 56.89453730,4.0713096E+5,1.3600474E+6,436.97534588,296.76125938,140.21408650
T-367       ,8.2740612E+3,7.7352500E+3, 13.78059018, 17.19903760, 67.88102401, 56.90723182,4.0630212E+5,1.3592736E+6,437.40066583,296.99154834,140.40911749
T-368       ,8.2596978E+3,7.7325716E+3, 13.78395371, 17.20276613, 67.90146224, 56.91991862,4.0547471E+5,1.3585001E+6,437.82385971,297.22051597,140.60334373
T-369       ,8.2453448E+3,7.7298917E+3, 13.78730122, 17.20649192, 67.92182857, 56.93259768,4.0464874E+5,1.3577269E+6,438.24493796,297.44816944,140.79676852
T-370       ,8.2310021E+3,7.7272103E+3, 13.79063267, 17.21021496, 67.94212186, 56.94526894,4.0382421E+5,1.3569539E+6,438.66391099,297.67451588,140.98939511
T-371       ,8.2166699E+3,7.7245274E+3, 13.79394804, 17.21393524, 67.96234300, 56.95793237,4.0300111E+5,1.3561812E+6,439.08078914,297.89956239,141.18122675
T-372       ,8.2023481E+3,7.7218431E+3, 13.79724730, 17.21765275, 67.98249093, 56.97058792,4.0217944E+5,1.3554087E+6,439.49558272,298.12331602,141.37226670
T-373       ,8.1880368E+3,7.7191572E+3, 13.80053042, 17.22136747, 68.00256589, 56.98323556,4.0135921E+5,1.3546365E+6,439.90830196,298.34578380,141.56251817
T-374       ,8.1737360E+3,7.7164698E+3, 13.80379737, 17.22507940, 68.02256742, 56.99587524,4.0054040E+5,1.3538646E+6,440.31895708,298.56697271,141.75198437
T-375       ,8.1594458E+3,7.7137809E+3, 13.80704814, 17.22878853, 68.04249584, 57.00850692,3.9972303E+5,1.3530930E+6,440.72755822,298.78688971,141.94066851
T-376       ,8.1451662E+3,7.7110905E+3, 13.81028268, 17.23249483, 68.06235070, 57.02113056,3.9890709E+5,1.3523216E+6,441.13411549,299.00554172,142.12857377
T-377       ,8.1308973E+3,7.7083986E+3, 13.81350097, 17.23619832, 68.08213230, 57.03374613,3.9809257E+5,1.3515505E+6,441.53863893,299.22293560,142.31570332
T-378       ,8.1166390E+3,7.7057052E+3, 13.81670299, 17.23989896, 68.10183941, 57.04635358,3.9727948E+5,1.3507796E+6,441.94113855,299.43907822,142.50206033
T-379       ,8.1023915E+3,7.7030103E+3, 13.81988871, 17.24359675, 68.12147310, 57.05895287,3.9646782E+5,1.3500091E+6,442.34162430,299.65397637,142.68764793
T-380       ,8.0881547E+3,7.7003139E+3, 13.82305809, 17.24729168, 68.14103223, 57.07154396,3.9565758E+5,1.3492388E+6,442.74010610,299.86763684,142.87246926
T-381       ,8.0739288E+3,7.6976160E+3, 13.82621112, 17.25098374, 68.16051772, 57.08412681,3.9484876E+5,1.3484687E+6,443.13659380,300.08006636,143.05652744
T-382       ,8.0597137E+3,7.6949165E+3, 13.82934777, 17.25467292, 68.17992850, 57.09670137,3.9404137E+5,1.3476990E+6,443.53109722,300.29127163,143.23982558
T-383       ,8.0455095E+3,7.6922156E+3, 13.83246801, 17.25835920, 68.19926484, 57.10926763,3.9323540E+5,1.3469295E+6,443.92362611,300.50125934,143.42236677
T-384       ,8.0313162E+3,7.6895131E+3, 13.83557181, 17.26204258, 68.21852628, 57.12182552,3.9243085E+5,1.3461603E+6,444.31419020,300.71003612,143.60415408
T-385       ,8.0171338E+3,7.6868091E+3, 13.83865915, 17.26572305, 68.23771243, 57.13437501,3.9162771E+5,1.3453913E+6,444.70279916,300.91760857,143.78519059
T-386       ,8.0029625E+3,7.6841036E+3, 13.84172999, 17.26940059, 68.25682422, 57.14691606,3.9082600E+5,1.3446226E+6,445.08946261,301.12398326,143.96547935
T-387       ,7.9888022E+3,7.6813965E+3, 13.84478432, 17.27307519, 68.27586061, 57.15944864,3.9002571E+5,1.3438542E+6,445.47419013,301.32916673,144.14502340
T-388       ,7.9746530E+3,7.6786880E+3, 13.84782211, 17.27674685, 68.29482187, 57.17197270,3.8922682E+5,1.3430861E+6,445.85699124,301.53316547,144.32382577
T-389       ,7.9605149E+3,7.6759779E+3, 13.85084333, 17.28041555, 68.31370756, 57.18448821,3.8842936E+5,1.3423182E+6,446.23787544,301.73598596,144.50188948
T-390       ,7.9463880E+3,7.6732663E+3, 13.85384795, 17.28408129, 68.33251801, 57.19699511,3.8763331E+5,1.3415506E+6,446.61685216,301.93763464,144.67921753
T-391       ,7.9322723E+3,7.6705532E+3, 13.85683595, 17.28774405, 68.35125279, 57.20949339,3.8683867E+5,1.3407833E+6,446.99393080,302.13811790,144.85581291
T-392       ,7.9181677E+3,7.6678385E+3, 13.85980731, 17.29140382, 68.36991077, 57.22198299,3.8604544E+5,1.3400162E+6,447.36912070,302.33744211,145.03167859
T-393       ,7.9040745E+3,7.6651223E+3, 13.86276198, 17.29506059, 68.38849339, 57.23446388,3.8525363E+5,1.3392494E+6,447.74243117,302.53561361,145.20681756
T-394       ,7.8899926E+3,7.6624046E+3, 13.86569996, 17.29871435, 68.40699999, 57.24693603,3.8446322E+5,1.3384829E+6,448.11387146,302.73263871,145.38123275
T-395       ,7.8759220E+3,7.6596854E+3, 13.86862122, 17.30236510, 68.42542988, 57.25939938,3.8367422E+5,1.3377167E+6,448.48345079,302.92852368,145.55492711
T-396       ,7.8618628E+3,7.6569646E+3, 13.87152572, 17.30601281, 68.44378344, 57.27185391,3.8288663E+5,1.3369507E+6,448.85117833,303.12327475,145.72790358
T-397       ,7.8478150E+3,7.6542423E+3, 13.87441345, 17.30965749, 68.46206023, 57.28429957,3.8210044E+5,1.3361850E+6,449.21706319,303.31689814,145.90016505
T-398       ,7.8337787E+3,7.6515184E+3, 13.87728437, 17.31329912, 68.48026060, 57.29673633,3.8131566E+5,1.3354196E+6,449.58111447,303.50940001,146.07171445
T-399       ,7.8197538E+3,7.6487930E+3, 13.88013847, 17.31693769, 68.49838331, 57.30916416,3.8053228E+5,1.3346544E+6,449.94334119,303.70078652,146.24255466
T-400       ,7.8057405E+3,7.6460661E+3, 13.88297571, 17.32057318, 68.51642947, 57.32158300,3.7975031E+5,1.3338896E+6,450.30375234,303.89106377,146.41268857
T-401       ,7.7917388E+3,7.6433377E+3, 13.88579607, 17.32420561, 68.53439873, 57.33399283,3.7896973E+5,1.3331250E+6,450.66235688,304.08023785,146.58211904
T-402       ,7.7777487E+3,7.6406077E+3, 13.88859953, 17.32783494, 68.55229063, 57.34639360,3.7819056E+5,1.3323606E+6,451.01916372,304.26831479,146.75084892
T-403       ,7.7637702E+3,7.6378761E+3, 13.89138607, 17.33146117, 68.57010468, 57.35878529,3.7741278E+5,1.3315966E+6,451.37418171,304.45530063,146.91888107
T-404       ,7.7498034E+3,7.6351430E+3, 13.89415565, 17.33508430, 68.58784129, 57.37116785,3.7663641E+5,1.3308328E+6,451.72741967,304.64120135,147.08621831
T-405       ,7.7358483E+3,7.6324084E+3, 13.89690825, 17.33870431, 68.60550000, 57.38354124,3.7586143E+5,1.3300693E+6,452.07888638,304.82602290,147.25286347
T-406       ,7.7219049E+3,7.6296722E+3, 13.89964385, 17.34232119, 68.62308050, 57.39590544,3.7508784E+5,1.3293060E+6,452.42859057,305.00977121,147.41881936
T-407       ,7.7079734E+3,7.6269345E+3, 13.90236242, 17.34593493, 68.64058364, 57.40826039,3.7431565E+5,1.3285431E+6,452.77654094,305.19245218,147.58408876
T-408       ,7.6940536E+3,7.6241953E+3, 13.90506394, 17.34954552, 68.65800791, 57.42060607,3.7354485E+5,1.3277804E+6,453.12274614,305.37407166,147.74867448
T-409       ,7.6801458E+3,7.6214545E+3, 13.90774838, 17.35315296, 68.67535456, 57.43294244,3.7277545E+5,1.3270179E+6,453.46721477,305.55463549,147.91257928
T-410       ,7.6662498E+3,7.6187121E+3, 13.91041572, 17.35675724, 68.69262216, 57.44526947,3.7200743E+5,1.3262558E+6,453.80995539,305.73414947,148.07580592
T-411       ,7.6523657E+3,7.6159682E+3, 13.91306594, 17.36035834, 68.70981087, 57.45758711,3.7124081E+5,1.3254939E+6,454.15097655,305.91261939,148.23835716
T-412       ,7.6384936E+3,7.6132228E+3, 13.91569901, 17.36395625, 68.72692122, 57.46989533,3.7047557E+5,1.3247323E+6,454.49028671,306.09005097,148.40023574
T-413       ,7.6246336E+3,7.6104758E+3, 13.91831491, 17.36755097, 68.74395333, 57.48219409,3.6971172E+5,1.3239710E+6,454.82789432,306.26644995,148.56144438
T-414       ,7.6107855E+3,7.6077273E+3, 13.92091361, 17.37114249, 68.76090529, 57.49448337,3.6894926E+5,1.3232100E+6,455.16380779,306.44182199,148.72198580
T-415       ,7.5969495E+3,7.6049772E+3, 13.92349509, 17.37473079, 68.77777840, 57.50676311,3.6818818E+5,1.3224492E+6,455.49803547,306.61617276,148.88186271
T-416       ,7.5831257E+3,7.6022255E+3, 13.92605932, 17.37831587, 68.79457287, 57.51903330,3.6742848E+5,1.3216887E+6,455.83058568,306.78950788,149.04107780
T-417       ,7.5693139E+3,7.5994723E+3, 13.92860629, 17.38189772, 68.81128685, 57.53129389,3.6667017E+5,1.3209285E+6,456.16146670,306.96183295,149.19963376
T-418       ,7.5555144E+3,7.5967176E+3, 13.93113597, 17.38547633, 68.82792202, 57.54354484,3.6591324E+5,1.3201685E+6,456.49068678,307.13315353,149.35753325
T-419       ,7.5417270E+3,7.5939613E+3, 13.93364833, 17.38905170, 68.84447694, 57.55578613,3.6515769E+5,1.3194088E+6,456.81825411,307.30347517,149.51477894
T-420       ,7.5279520E+3,7.5912035E+3, 13.93614335, 17.39262380, 68.86095273, 57.56801772,3.6440352E+5,1.3186494E+6,457.14417686,307.47280337,149.67137348
T-421       ,7.5141891E+3,7.5884441E+3, 13.93862102, 17.39619264, 68.87734774, 57.58023957,3.6365072E+5,1.3178903E+6,457.46846313,307.64114362,149.82731951
T-422       ,7.5004387E+3,7.5856831E+3, 13.94108130, 17.39975820, 68.89366323, 57.59245164,3.6289930E+5,1.3171315E+6,457.79112103,307.80850137,149.98261966
T-423       ,7.4867005E+3,7.5829206E+3, 13.94352417, 17.40332048, 68.90989762, 57.60465391,3.6214926E+5,1.3163729E+6,458.11215858,307.97488205,150.13727653
T-424       ,7.4729747E+3,7.5801565E+3, 13.94594961, 17.40687947, 68.92605181, 57.61684634,3.6140059E+5,1.3156146E+6,458.43158379,308.14029104,150.29129275
T-425       ,7.4592614E+3,7.5773909E+3, 13.94835760, 17.41043515, 68.94212608, 57.62902890,3.6065329E+5,1.3148566E+6,458.74940463,308.30473372,150.44467091
T-426       ,7.4455605E+3,7.5746238E+3, 13.95074812, 17.41398752, 68.95811927, 57.64120155,3.5990736E+5,1.3140989E+6,459.06562901,308.46821544,150.59741358
T-427       ,7.4318721E+3,7.5718550E+3, 13.95312114, 17.41753658, 68.97403179, 57.65336425,3.5916281E+5,1.3133414E+6,459.38026484,308.63074149,150.74952335
T-428       ,7.4181962E+3,7.5690847E+3, 13.95547663, 17.42108230, 68.98986320, 57.66551698,3.5841962E+5,1.3125842E+6,459.69331995,308.79231718,150.90100277
T-429       ,7.4045329E+3,7.5663129E+3, 13.95781459, 17.42462469, 69.00561396, 57.67765970,3.5767780E+5,1.3118273E+6,460.00480216,308.95294775,151.05185441
T-430       ,7.3908821E+3,7.5635395E+3, 13.96013498, 17.42816374, 69.02128278, 57.68979238,3.5693735E+5,1.3110707E+6,460.31471924,309.11263844,151.20208080
T-431       ,7.3772440E+3,7.5607646E+3, 13.96243779, 17.43169943, 69.03687090, 57.70191499,3.5619826E+5,1.3103143E+6,460.62307893,309.27139446,151.35168448
T-432       ,7.3636185E+3,7.5579881E+3, 13.96472299, 17.43523176, 69.05237713, 57.71402748,3.5546054E+5,1.3095582E+6,460.92988892,309.42922096,151.50066796
T-433       ,7.3500057E+3,7.5552100E+3, 13.96699056, 17.43876072, 69.06780189, 57.72612983,3.5472417E+5,1.3088025E+6,461.23515688,309.58612312,151.64903376
T-434       ,7.3364056E+3,7.5524304E+3, 13.96924047, 17.44228631, 69.08314477, 57.73822201,3.5398917E+5,1.3080469E+6,461.53889042,309.74210604,151.79678438
T-435       ,7.3228183E+3,7.5496492E+3, 13.97147272, 17.44580850, 69.09840622, 57.75030398,3.5325553E+5,1.3072917E+6,461.84109714,309.89717483,151.94392231
T-436       ,7.3092437E+3,7.5468665E+3, 13.97368727, 17.44932731, 69.11358498, 57.76237571,3.5252325E+5,1.3065367E+6,462.14178459,310.05133456,152.09045003
T-437       ,7.2956820E+3,7.5440822E+3, 13.97588410, 17.45284271, 69.12868227, 57.77443717,3.5179233E+5,1.3057820E+6,462.44096027,310.20459026,152.23637001
T-438       ,7.2821331E+3,7.5412964E+3, 13.97806319, 17.45635470, 69.14369693, 57.78648832,3.5106276E+5,1.3050276E+6,462.73863166,310.35694695,152.38168471
T-439       ,7.2685971E+3,7.5385090E+3, 13.98022453, 17.45986327, 69.15862940, 57.79852914,3.5033455E+5,1.3042735E+6,463.03480621,310.50840963,152.52639658
T-440       ,7.2550740E+3,7.5357200E+3, 13.98236809, 17.46336842, 69.17347925, 57.81055960,3.4960769E+5,1.3035196E+6,463.32949132,310.65898326,152.67050806
T-441       ,7.2415638E+3,7.5329295E+3, 13.98449385, 17.46687013, 69.18824606, 57.82257965,3.4888218E+5,1.3027661E+6,463.62269435,310.80867278,152.81402157
T-442       ,7.2280666E+3,7.5301374E+3, 13.98660179, 17.47036840, 69.20293042, 57.83458927,3.4815802E+5,1.3020128E+6,463.91442264,310.95748309,152.95693955
T-443       ,7.2145825E+3,7.5273438E+3, 13.98869188, 17.47386322, 69.21753256, 57.84658844,3.4743522E+5,1.3012598E+6,464.20468348,311.10541910,153.09926439
T-444       ,7.2011113E+3,7.5245486E+3, 13.99076412, 17.47735458, 69.23205072, 57.85857711,3.4671376E+5,1.3005070E+6,464.49348415,311.25248565,153.24099849
T-445       ,7.1876533E+3,7.5217519E+3, 13.99281847, 17.48084248, 69.24648649, 57.87055525,3.4599365E+5,1.2997546E+6,464.78083185,311.39868759,153.38214426
T-446       ,7.1742083E+3,7.5189536E+3, 13.99485492, 17.48432691, 69.26083830, 57.88252284,3.4527488E+5,1.2990024E+6,465.06673379,311.54402973,153.52270406
T-447       ,7.1607765E+3,7.5161538E+3, 13.99687345, 17.48780785, 69.27510730, 57.89447985,3.4455746E+5,1.2982505E+6,465.35119711,311.68851685,153.66268026
T-448       ,7.1473578E+3,7.5133524E+3, 13.99887404, 17.49128531, 69.28929220, 57.90642624,3.4384138E+5,1.2974989E+6,465.63422895,311.83215371,153.80207524
T-449       ,7.1339523E+3,7.5105494E+3, 14.00085666, 17.49475927, 69.30339358, 57.91836198,3.4312665E+5,1.2967476E+6,465.91583638,311.97494505,153.94089133
T-450       ,7.1205601E+3,7.5077449E+3, 14.00282130, 17.49822973, 69.31741179, 57.93028705,3.4241325E+5,1.2959965E+6,466.19602646,312.11689558,154.07913088
T-451       ,7.1071811E+3,7.5049389E+3, 14.00476794, 17.50169669, 69.33134564, 57.94220141,3.4170120E+5,1.2952457E+6,466.47480621,312.25800999,154.21679622
T-452       ,7.0938154E+3,7.5021313E+3, 14.00669656, 17.50516012, 69.34519561, 57.95410504,3.4099048E+5,1.2944952E+6,466.75218262,312.39829294,154.35388967
T-453       ,7.0804630E+3,7.4993221E+3, 14.00860714, 17.50862003, 69.35896130, 57.96599790,3.4028110E+5,1.2937450E+6,467.02816262,312.53774907,154.49041355
T-454       ,7.0671239E+3,7.4965114E+3, 14.01049966, 17.51207641, 69.37264252, 57.97787996,3.3957305E+5,1.2929951E+6,467.30275314,312.67638298,154.62637016
T-455       ,7.0537983E+3,7.4936991E+3, 14.01237410, 17.51552925, 69.38624008, 57.98975121,3.3886634E+5,1.2922454E+6,467.57596106,312.81419927,154.76176179
T-456       ,7.0404860E+3,7.4908853E+3, 14.01423045, 17.51897854, 69.39975237, 58.00161159,3.3816096E+5,1.2914961E+6,467.84779323,312.95120251,154.89659072
T-457       ,7.0271872E+3,7.4880700E+3, 14.01606867, 17.52242428, 69.41318062, 58.01346110,3.3745691E+5,1.2907470E+6,468.11825646,313.08739723,155.03085923
T-458       ,7.0139018E+3,7.4852530E+3, 14.01788877, 17.52586647, 69.42652351, 58.02529970,3.3675419E+5,1.2899982E+6,468.38735754,313.22278796,155.16456959
T-459       ,7.0006299E+3,7.4824346E+3, 14.01969070, 17.52930508, 69.43978166, 58.03712735,3.3605280E+5,1.2892496E+6,468.65510322,313.35737918,155.29772404
T-460       ,6.9873716E+3,7.4796146E+3, 14.02147447, 17.53274012, 69.45295545, 58.04894404,3.3535274E+5,1.2885014E+6,468.92150021,313.49117536,155.43032485
T-461       ,6.9741268E+3,7.4767930E+3, 14.02324004, 17.53617159, 69.46604368, 58.06074973,3.3465400E+5,1.2877534E+6,469.18655520,313.62418096,155.56237424
T-462       ,6.9608956E+3,7.4739699E+3, 14.02498741, 17.53959946, 69.47904686, 58.07254440,3.3395659E+5,1.2870058E+6,469.45027484,313.75640039,155.69387445
T-463       ,6.9476780E+3,7.4711453E+3, 14.02671655, 17.54302375, 69.49196463, 58.08432801,3.3326050E+5,1.2862584E+6,469.71266575,313.88783806,155.82482769
T-464       ,6.9344741E+3,7.4683191E+3, 14.02842744, 17.54644443, 69.50479749, 58.09610055,3.3256573E+5,1.2855113E+6,469.97373452,314.01849834,155.95523618
T-465       ,6.9212838E+3,7.4654913E+3, 14.03012007, 17.54986151, 69.51754413, 58.10786197,3.3187228E+5,1.2847644E+6,470.23348770,314.14838559,156.08510211
T-466       ,6.9081072E+3,7.4626621E+3, 14.03179442, 17.55327497, 69.53020510, 58.11961226,3.3118015E+5,1.2840179E+6,470.49193181,314.27750413,156.21442767
T-467       ,6.8949443E+3,7.4598312E+3, 14.03345048, 17.55668481, 69.54278005, 58.13135139,3.3048934E+5,1.2832716E+6,470.74907334,314.40585828,156.34321506
T-468       ,6.8817952E+3,7.4569989E+3, 14.03508822, 17.56009103, 69.55526950, 58.14307933,3.2979985E+5,1.2825256E+6,471.00491877,314.53345232,156.47146645
T-469       ,6.8686599E+3,7.4541650E+3, 14.03670762, 17.56349362, 69.56767313, 58.15479606,3.2911167E+5,1.2817799E+6,471.25947451,314.66029051,156.59918399
T-470       ,6.8555384E+3,7.4513295E+3, 14.03830868, 17.56689256, 69.57999051, 58.16650154,3.2842480E+5,1.2810345E+6,471.51274696,314.78637710,156.72636986
T-471       ,6.8424307E+3,7.4484926E+3, 14.03989137, 17.57028787, 69.59222127, 58.17819575,3.2773925E+5,1.2802894E+6,471.76474248,314.91171630,156.85302619
T-472       ,6.8293369E+3,7.4456540E+3, 14.04145568, 17.57367952, 69.60436600, 58.18987866,3.2705501E+5,1.2795445E+6,472.01546742,315.03631230,156.97915512
T-473       ,6.8162570E+3,7.4428140E+3, 14.04300158, 17.57706751, 69.61642432, 58.20155025,3.2637207E+5,1.2788000E+6,472.26492808,315.16016929,157.10475879
T-474       ,6.8031910E+3,7.4399724E+3, 14.04452908, 17.58045184, 69.62839586, 58.21321050,3.2569045E+5,1.2780557E+6,472.51313073,315.28329141,157.22983932
T-475       ,6.7901390E+3,7.4371293E+3, 14.04603814, 17.58383250, 69.64028120, 58.22485936,3.2501013E+5,1.2773117E+6,472.76008161,315.40568279,157.35439882
T-476       ,6.7771009E+3,7.4342846E+3, 14.04752875, 17.58720949, 69.65207909, 58.23649683,3.2433111E+5,1.2765680E+6,473.00578693,315.52734754,157.47843939
T-477       ,6.7640769E+3,7.4314384E+3, 14.04900089, 17.59058280, 69.66379083, 58.24812288,3.2365340E+5,1.2758245E+6,473.25025288,315.64828975,157.60196313
T-478       ,6.7510669E+3,7.4285907E+3, 14.05045455, 17.59395242, 69.67541536, 58.25973747,3.2297700E+5,1.2750814E+6,473.49348562,315.76851349,157.72497213
T-479       ,6.7380709E+3,7.4257415E+3, 14.05188972, 17.59731835, 69.68695219, 58.27134059,3.2230189E+5,1.2743385E+6,473.73549125,315.88802278,157.84746847
T-480       ,6.7250890E+3,7.4228907E+3, 14.05330637, 17.60068058, 69.69840194, 58.28293221,3.2162808E+5,1.2735960E+6,473.97627589,316.00682167,157.96945422
T-481       ,6.7121212E+3,7.4200384E+3, 14.05470450, 17.60403910, 69.70976428, 58.29451230,3.2095557E+5,1.2728537E+6,474.21584557,316.12491414,158.09093143
T-482       ,6.6991676E+3,7.4171846E+3, 14.05608408, 17.60739392, 69.72103976, 58.30608084,3.2028436E+5,1.2721117E+6,474.45420635,316.24230419,158.21190217
T-483       ,6.6862281E+3,7.4143292E+3, 14.05744510, 17.61074502, 69.73222708, 58.31763781,3.1961444E+5,1.2713699E+6,474.69136423,316.35899575,158.33236847
T-484       ,6.6733028E+3,7.4114723E+3, 14.05878755, 17.61409240, 69.74332694, 58.32918317,3.1894582E+5,1.2706285E+6,474.92732517,316.47499278,158.45233239
T-485       ,6.6603918E+3,7.4086139E+3, 14.06011141, 17.61743605, 69.75433974, 58.34071692,3.1827849E+5,1.2698874E+6,475.16209513,316.59029920,158.57179593
T-486       ,6.6474950E+3,7.4057540E+3, 14.06141666, 17.62077598, 69.76526434, 58.35223902,3.1761245E+5,1.2691465E+6,475.39568002,316.70491888,158.69076113
T-487       ,6.6346124E+3,7.4028926E+3, 14.06270329, 17.62411217, 69.77610028, 58.36374944,3.1694770E+5,1.2684059E+6,475.62808572,316.81885572,158.80923000
T-488       ,6.6217441E+3,7.4000296E+3, 14.06397130, 17.62744461, 69.78684830, 58.37524818,3.1628424E+5,1.2676656E+6,475.85931811,316.93211357,158.92720454
T-489       ,6.6088902E+3,7.3971652E+3, 14.06522065, 17.63077331, 69.79750885, 58.38673519,3.1562207E+5,1.2669256E+6,476.08938300,317.04469626,159.04468674
T-490       ,6.5960506E+3,7.3942992E+3, 14.06645134, 17.63409825, 69.80808076, 58.39821047,3.1496118E+5,1.2661859E+6,476.31828620,317.15660760,159.16167860
T-491       ,6.5832254E+3,7.3914317E+3, 14.06766336, 17.63741944, 69.81856463, 58.40967398,3.1430157E+5,1.2654465E+6,476.54603349,317.26785139,159.27818209
T-492       ,6.5704145E+3,7.3885627E+3, 14.06885668, 17.64073687, 69.82895909, 58.42112570,3.1364325E+5,1.2647073E+6,476.77263060,317.37843141,159.39419919
T-493       ,6.5576181E+3,7.3856922E+3, 14.07003131, 17.64405053, 69.83926573, 58.43256562,3.1298621E+5,1.2639685E+6,476.99808326,317.48835140,159.50973186
T-494       ,6.5448361E+3,7.3828202E+3, 14.07118721, 17.64736041, 69.84948330, 58.44399370,3.1233045E+5,1.2632299E+6,477.22239715,317.59761510,159.62478205
T-495       ,6.5320686E+3,7.3799466E+3, 14.07232438, 17.65066652, 69.85961243, 58.45540993,3.1167596E+5,1.2624916E+6,477.44557795,317.70622622,159.73935172
T-496       ,6.5193156E+3,7.3770716E+3, 14.07344281, 17.65396885, 69.86965278, 58.46681429,3.1102276E+5,1.2617536E+6,477.66763127,317.81418847,159.85344280
T-497       ,6.5065771E+3,7.3741951E+3, 14.07454248, 17.65726739, 69.87960399, 58.47820675,3.1037082E+5,1.2610159E+6,477.88856273,317.92150550,159.96705723
T-498       ,6.4938531E+3,7.3713170E+3, 14.07562338, 17.66056214, 69.88946571, 58.48958728,3.0972017E+5,1.2602785E+6,478.10837791,318.02818098,160.08019693
T-499       ,6.4811437E+3,7.3684375E+3, 14.07668550, 17.66385309, 69.89923863, 58.50095588,3.0907078E+5,1.2595414E+6,478.32708236,318.13421855,160.19286381
T-500       ,6.4684489E+3,7.3655565E+3, 14.07772882, 17.66714024, 69.90892252, 58.51231251,3.0842267E+5,1.2588045E+6,478.54468161,318.23962182,160.30505979
T-501       ,6.4557688E+3,7.3626740E+3, 14.07875333, 17.67042359, 69.91851781, 58.52365716,3.0777582E+5,1.2580680E+6,478.76118114,318.34439438,160.41678677
T-502       ,6.4431032E+3,7.3597899E+3, 14.07975902, 17.67370313, 69.92802229, 58.53498980,3.0713025E+5,1.2573317E+6,478.97658644,318.44853982,160.52804663
T-503       ,6.4304523E+3,7.3569044E+3, 14.08074587, 17.67697885, 69.93743766, 58.54631042,3.0648594E+5,1.2565957E+6,479.19090295,318.55206169,160.63884127
T-504       ,6.4178161E+3,7.3540174E+3, 14.08171388, 17.68025076, 69.94676359, 58.55761900,3.0584289E+5,1.2558601E+6,479.40413609,318.65496353,160.74917256
T-505       ,6.4051946E+3,7.3511289E+3, 14.08266303, 17.68351884, 69.95599973, 58.56891550,3.0520111E+5,1.2551247E+6,479.61629124,318.75724887,160.85904238
T-506       ,6.3925878E+3,7.3482390E+3, 14.08359331, 17.68678309, 69.96514575, 58.58019992,3.0456059E+5,1.2543895E+6,479.82737378,318.85892120,160.96845258
T-507       ,6.3799958E+3,7.3453475E+3, 14.08450471, 17.69004352, 69.97420236, 58.59147223,3.0392133E+5,1.2536547E+6,480.03738904,318.95998401,161.07740502
T-508       ,6.3674186E+3,7.3424546E+3, 14.08539721, 17.69330011, 69.98316925, 58.60273242,3.0328333E+5,1.2529202E+6,480.24634233,319.06044077,161.18590156
T-509       ,6.3548561E+3,7.3395602E+3, 14.08627081, 17.69655286, 69.99204506, 58.61398045,3.0264659E+5,1.2521859E+6,480.45423894,319.16029492,161.29394402
T-510       ,6.3423085E+3,7.3366643E+3, 14.08712550, 17.69980176, 70.00083144, 58.62521633,3.0201110E+5,1.2514520E+6,480.66108414,319.25954989,161.40153425
T-511       ,6.3297757E+3,7.3337669E+3, 14.08796126, 17.70304682, 70.00952716, 58.63644001,3.0137687E+5,1.2507183E+6,480.86688316,319.35820909,161.50867406
T-512       ,6.3172578E+3,7.3308681E+3, 14.08877808, 17.70628803, 70.01813291, 58.64765149,3.0074389E+5,1.2499849E+6,481.07164120,319.45627591,161.61536529
T-513       ,6.3047548E+3,7.3279678E+3, 14.08957595, 17.70952538, 70.02664836, 58.65885075,3.0011217E+5,1.2492518E+6,481.27536345,319.55375373,161.72160973
